Booking Date,Currency Date,Sender/Recipient,Sender/Recipient Address,Source Account,Target Account,Description,Amount,Currency,Reference Number,Operation Type
2024-04-18,2024-04-18,Online Retailer,123 Elm St,234567890,987654321,Online Purchase,-250.00,USD,5678901234,Debit
2024-04-18,2024-04-18,John Doe,123 Main St,123456789,987654321,Gasoline,-40.00,USD,6789012345,Debit
2024-04-19,2024-04-19,Apple Inc,789 Oak St,345678901,987654321,Electronics Purchase,-800.00,USD,7890123456,Debit
2024-04-20,2024-04-20,Jane Smith,123 Main St,456789012,987654321,Phone Bill Payment,-50.00,USD,8901234567,Debit
2024-04-20,2024-04-20,Jane Smith,789 Oak St,345678901,987654321,Interest,20.00,USD,8901234567,Credit
2024-04-21,2024-04-21,John Doe,123 Main St,123456789,987654321,ATM Withdrawal,-80.00,USD,0123456789,Debit
2024-04-21,2024-04-21,Local Cafe,987 Pine St,567890123,987654321,Coffee Shop,-20.00,USD,9012345678,Debit
2024-04-22,2024-04-22,Online Retailer,456 Elm St,234567890,987654321,Online Shopping,-200.00,USD,1234567890,Debit
2024-04-22,2024-04-22,Local Grocery Store,123 Maple Ave,456789012,987654321,Refund,30.00,USD,9012345678,Credit
2024-04-23,2024-04-23,Jane Smith,789 Oak St,345678901,987654321,Subscription Service,-20.00,USD,2345678901,Debit
2024-04-23,2024-04-23,John Doe,123 Main St,123456789,987654321,Restaurant Lunch,-50.00,USD,3456789012,Debit
2024-04-24,2024-04-24,Local Grocery Store,123 Maple Ave,456789012,987654321,Grocery Shopping,-60.00,USD,4567890123,Debit
2024-04-25,2024-04-25,Jane Smith,987 Oak St,567890123,987654321,Movie Tickets,-35.00,USD,5678901234,Debit
2024-04-25,2024-04-25,Jane Smith,456 Elm St,234567890,987654321,Refund,100.00,USD,6789012345,Credit
2024-04-26,2024-04-26,John Doe,123 Main St,123456789,987654321,Gasoline,-40.00,USD,7890123456,Debit
2024-04-26,2024-04-26,Online Retailer,123 Elm St,678901234,987654321,Online Purchase,-250.00,USD,6789012345,Debit
2024-04-27,2024-04-27,Apple Inc,456 Oak St,789012345,987654321,Electronics Purchase,-800.00,USD,8901234567,Debit
2024-04-28,2024-04-28,Jane Smith,789 Pine St,890123456,987654321,Phone Bill Payment,-50.00,USD,9012345678,Debit
2024-04-29,2024-04-29,John Doe,123 Main St,123456789,987654321,ATM Withdrawal,-60.00,USD,1234567890,Debit
2024-04-29,2024-04-29,Local Cafe,123 Elm St,901234567,987654321,Coffee Shop,-20.00,USD,0123456789,Debit
2024-04-30,2024-04-30,Online Retailer,987 Oak St,234567890,987654321,Online Shopping,-200.00,USD,2345678901,Debit
2024-04-30,2024-04-30,John Doe,123 Main St,123456789,987654321,Utility Bill Payment,-75.00,USD,3456789012,Debit
2024-04-30,2024-04-30,John Doe,123 Main St,123456789,987654321,Gift,50.00,USD,7890123456,Credit
